iter	Passed	Remaining
0	24	23993
1	28	14452
2	44	14816
3	58	14570
4	70	14027
5	81	13556
6	93	13286
7	105	13077
8	117	12891
9	129	12784
10	140	12643
11	152	12581
12	164	12501
13	177	12474
14	190	12504
15	203	12541
16	216	12547
17	229	12504
18	240	12443
19	253	12427
20	269	12559
21	289	12876
22	311	13215
23	330	13452
24	350	13661
25	368	13815
26	386	13923
27	402	13960
28	416	13938
29	429	13894
30	441	13799
31	453	13711
32	464	13621
33	481	13675
34	497	13719
35	516	13831
36	535	13926
37	560	14200
38	584	14404
39	604	14502
40	622	14553
41	638	14573
42	657	14635
43	682	14822
44	704	14944
45	723	15008
46	745	15115
47	770	15290
48	795	15435
49	821	15604
50	848	15793
51	869	15857
52	892	15948
53	918	16084
54	945	16244
55	972	16386
56	999	16531
57	1026	16672
58	1053	16809
59	1081	16937
60	1106	17039
61	1134	17166
62	1161	17268
63	1187	17367
64	1213	17456
65	1239	17540
66	1267	17644
67	1292	17715
68	1319	17808
69	1347	17898
70	1374	17982
71	1399	18036
72	1425	18102
73	1452	18178
74	1478	18238
75	1505	18302
76	1530	18349
77	1556	18398
78	1584	18475
79	1610	18523
80	1636	18563
81	1663	18623
82	1691	18684
83	1718	18738
84	1744	18775
85	1771	18823
86	1796	18855
87	1822	18888
88	1848	18923
89	1876	18971
90	1903	19010
91	1935	19107
92	1962	19142
93	1989	19172
94	2014	19192
95	2041	19222
96	2066	19236
97	2092	19258
98	2119	19288
99	2147	19325
100	2173	19343
101	2199	19362
102	2225	19380
103	2252	19403
104	2277	19409
105	2303	19430
106	2330	19451
107	2356	19466
108	2383	19481
109	2409	19491
110	2431	19470
111	2456	19479
112	2483	19493
113	2510	19508
114	2535	19514
115	2561	19519
116	2588	19533
117	2616	19559
118	2642	19561
119	2666	19555
120	2692	19560
121	2718	19563
122	2744	19565
123	2770	19573
124	2796	19576
125	2826	19608
126	2855	19632
127	2881	19633
128	2910	19652
129	2937	19660
130	2963	19660
131	2991	19669
132	3017	19670
133	3047	19692
134	3074	19697
135	3099	19693
136	3126	19694
137	3152	19690
138	3176	19675
139	3201	19666
140	3227	19660
141	3253	19660
142	3280	19662
143	3307	19658
144	3332	19647
145	3357	19637
146	3383	19634
147	3409	19625
148	3434	19617
149	3462	19621
150	3489	19619
151	3516	19616
152	3543	19616
153	3572	19623
154	3600	19626
155	3626	19621
156	3653	19614
157	3681	19617
158	3708	19615
159	3733	19602
160	3759	19590
161	3785	19582
162	3812	19576
163	3837	19562
164	3863	19551
165	3896	19577
166	3924	19577
167	3952	19576
168	3980	19570
169	4005	19557
170	4032	19547
171	4059	19540
172	4085	19530
173	4111	19519
174	4139	19512
175	4165	19502
176	4191	19489
177	4217	19478
178	4244	19467
179	4269	19450
180	4297	19445
181	4324	19437
182	4352	19430
183	4378	19417
184	4404	19402
185	4430	19389
186	4456	19375
187	4484	19368
188	4510	19356
189	4539	19351
190	4561	19322
191	4583	19288
192	4600	19235
193	4612	19161
194	4622	19083
195	4633	19007
196	4644	18932
197	4656	18861
198	4668	18792
199	4682	18730
200	4697	18672
201	4712	18615
202	4726	18556
203	4745	18515
204	4762	18470
205	4777	18413
206	4788	18344
207	4800	18277
208	4811	18208
209	4823	18144
210	4835	18080
211	4846	18013
212	4860	17957
213	4876	17909
214	4891	17861
215	4906	17808
216	4928	17781
217	4952	17765
218	4973	17737
219	4996	17714
220	5018	17690
221	5043	17674
222	5070	17666
223	5095	17652
224	5122	17643
225	5149	17635
226	5174	17621
